Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Honda,Civic,2012,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$214,Medium
Kia,Sportage,2023,Suspension Issues,"Squeaking noise from underneath, Car swaying, Car vibration over bumps",Inspect suspension system,$817,Hard
Chevrolet,Camaro,2012,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$825,Hard
Hyundai,Sonata,2010,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$753,Hard
Mercedes,C-Class,2011,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Replace fuses,$282,Medium
Mercedes,C-Class,2018,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$155,Medium
Hyundai,Sonata,2021,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$910,Hard
Honda,Civic,2022,Cooling System Issues,Burning smell,Inspect cooling system,$621,Medium
Hyundai,Sonata,2022,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$329,Medium
BMW,X5,2011,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$749,Hard
Kia,Sportage,2012,Tire Issues,Low tire pressure,Balance tires,$294,Easy
Nissan,Patrol,2009,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$144,Medium
Honda,Civic,2018,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$194,Medium
Nissan,Patrol,2020,Engine Oil Leak,Burning smell,Replace gaskets,$372,Medium
Honda,Civic,2016,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$246,Easy
BMW,X5,2013,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$996,Hard
Mercedes,C-Class,2015,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Replace gaskets,$539,Medium
Mercedes,C-Class,2016,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$319,Medium
Toyota,Corolla,2018,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Replace tires,$130,Easy
Toyota,Corolla,2018,Engine Oil Leak,Oil spots under the car,Fix the leak,$310,Medium
Chevrolet,Camaro,2018,Electrical System Issues,Warning light on dashboard,Replace fuses,$422,Medium
Chevrolet,Camaro,2023,Electrical System Issues,Weak battery charging,Replace fuses,$291,Medium
BMW,X5,2013,Brake Issues,"Squeaking when braking, Steering wheel vibration",Inspect brake system,$164,Medium
Kia,Sportage,2013,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$206,Easy
Toyota,Corolla,2022,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$109,Easy
Mercedes,C-Class,2014,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$350,Medium
Audi,A4,2022,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Replace the battery,$161,Easy
Mercedes,C-Class,2011,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$503,Hard
Hyundai,Sonata,2021,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$590,Medium
Ford,F-150,2019,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$1020,Hard
Nissan,Patrol,2005,Cooling System Issues,"Coolant leakage, Burning smell",Replace water pump,$408,Medium
Nissan,Patrol,2011,Cooling System Issues,"Coolant leakage, Burning smell",Replace water pump,$656,Medium
Kia,Sportage,2010,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Replace fuses,$413,Medium
Kia,Sportage,2011,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$189,Easy
Kia,Sportage,2015,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Replace gaskets,$325,Medium
BMW,X5,2015,Suspension Issues,Car swaying,Inspect suspension system,$877,Hard
Kia,Sportage,2023,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Inspect cooling system,$636,Medium
Kia,Sportage,2022,Tire Issues,Car vibration,Replace tires,$209,Easy
Nissan,Patrol,2009,Brake Issues,Increased stopping distance,Inspect brake system,$172,Medium
Audi,A4,2014,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$390,Medium
Nissan,Patrol,2021,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$279,Easy
Kia,Sportage,2023,Tire Issues,Car vibration,Balance tires,$124,Easy
Ford,F-150,2012,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$162,Medium
Honda,Civic,2013,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$224,Easy
Audi,A4,2013,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$413,Hard
Audi,A4,2014,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$79,Easy
Mercedes,C-Class,2023,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration, Engine vibration",Replace spark plugs,$276,Easy
Audi,A4,2020,Cooling System Issues,Coolant leakage,Inspect cooling system,$508,Medium
Chevrolet,Camaro,2022,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$297,Medium
Kia,Sportage,2016,Dead Battery,"Weak sound when starting, Car won't start, Dim lights",Charge the battery,$135,Easy
Mercedes,C-Class,2015,Electrical System Issues,Weak battery charging,Replace fuses,$491,Medium
Hyundai,Sonata,2014,Tire Issues,Car vibration,Balance tires,$113,Easy
Ford,F-150,2010,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$305,Medium
Audi,A4,2022,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$851,Hard
Mercedes,C-Class,2017,Engine Oil Leak,Burning smell,Fix the leak,$544,Medium
Mercedes,C-Class,2019,Engine Oil Leak,Low oil level,Replace gaskets,$209,Medium
Hyundai,Sonata,2010,Tire Issues,"Low tire pressure, Car vibration",Balance tires,$135,Easy
BMW,X5,2023,Engine Oil Leak,Burning smell,Fix the leak,$539,Medium
Nissan,Patrol,2019,Dead Battery,Dim lights,Replace the battery,$150,Easy
Kia,Sportage,2019,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Replace brake pads,$289,Medium
Honda,Civic,2017,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$508,Hard
Mercedes,C-Class,2020,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$825,Hard
Hyundai,Sonata,2012,Engine Oil Leak,"Low oil level, Burning smell",Replace gaskets,$276,Medium
Hyundai,Sonata,2010,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Inspect exhaust system,$762,Hard
Audi,A4,2011,Brake Issues,"Squeaking when braking, Steering wheel vibration",Replace brake pads,$314,Medium
Honda,Civic,2017,Brake Issues,Increased stopping distance,Replace brake pads,$398,Medium
Chevrolet,Camaro,2010,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$124,Easy
Chevrolet,Camaro,2021,Electrical System Issues,Warning light on dashboard,Replace fuses,$213,Medium
Audi,A4,2012,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$163,Easy
Toyota,Corolla,2020,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$481,Hard
Mercedes,C-Class,2020,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$131,Medium
Mercedes,C-Class,2023,Dead Battery,"Weak sound when starting, Dim lights",Replace the battery,$127,Easy
Hyundai,Sonata,2017,Brake Issues,Squeaking when braking,Replace brake pads,$387,Medium
Kia,Sportage,2018,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$787,Medium
Ford,F-150,2020,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$120,Easy
Honda,Civic,2016,Brake Issues,"Squeaking when braking, Increased stopping distance",Replace brake pads,$215,Medium
Chevrolet,Camaro,2017,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$170,Medium
Honda,Civic,2021,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Inspect brake system,$174,Medium
Nissan,Patrol,2016,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$392,Medium
Honda,Civic,2011,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$576,Medium
Ford,F-150,2007,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Balance tires,$69,Easy
Audi,A4,2021,Engine Oil Leak,"Burning smell, Low oil level",Fix the leak,$565,Medium
Nissan,Patrol,2009,Tire Issues,"Uneven tire wear, Low tire pressure",Balance tires,$256,Easy
Nissan,Patrol,2021,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$877,Hard
Kia,Sportage,2013,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$585,Hard
Hyundai,Sonata,2017,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Fix the leak,$536,Medium
Chevrolet,Camaro,2014,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$805,Hard
Ford,F-150,2011,Engine Oil Leak,Low oil level,Fix the leak,$579,Medium
Audi,A4,2023,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$973,Hard
Toyota,Corolla,2015,Exhaust System Issues,"Black smoke emission, Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$1061,Hard
Nissan,Patrol,2008,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Replace fuses,$156,Medium
Kia,Sportage,2019,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Replace the battery,$137,Easy
BMW,X5,2014,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$644,Hard
Chevrolet,Camaro,2020,Suspension Issues,"Car swaying, Car vibration over bumps",Inspect suspension system,$812,Hard
Audi,A4,2010,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$374,Medium
Hyundai,Sonata,2018,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$255,Medium
Honda,Civic,2011,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Replace shock absorbers,$913,Hard
Mercedes,C-Class,2011,Tire Issues,Car vibration,Replace tires,$138,Easy
Nissan,Patrol,2011,Cooling System Issues,Coolant leakage,Replace water pump,$495,Medium
Chevrolet,Camaro,2013,Dead Battery,"Weak sound when starting, Dim lights",Charge the battery,$128,Easy
Hyundai,Sonata,2011,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Inspect suspension system,$520,Hard
Kia,Sportage,2019,Brake Issues,"Steering wheel vibration, Increased stopping distance",Replace brake pads,$367,Medium
Mercedes,C-Class,2010,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Replace tires,$215,Easy
Mercedes,C-Class,2022,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$134,Easy
Nissan,Patrol,2023,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$294,Medium
Audi,A4,2015,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$384,Medium
BMW,X5,2018,Engine Oil Leak,Low oil level,Replace gaskets,$589,Medium
Audi,A4,2013,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$159,Easy
Nissan,Patrol,2017,Tire Issues,Low tire pressure,Replace tires,$220,Easy
Honda,Civic,2017,Engine Oil Leak,Low oil level,Fix the leak,$409,Medium
Honda,Civic,2020,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$101,Easy
Audi,A4,2022,Cooling System Issues,Coolant leakage,Inspect cooling system,$664,Medium
Audi,A4,2010,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$131,Easy
Toyota,Corolla,2016,Brake Issues,Increased stopping distance,Inspect brake system,$263,Medium
Hyundai,Sonata,2011,Tire Issues,"Car vibration, Low tire pressure",Balance tires,$263,Easy
Ford,F-150,2011,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$56,Easy
Kia,Sportage,2010,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Replace water pump,$394,Medium
BMW,X5,2014,Dead Battery,Weak sound when starting,Charge the battery,$50,Easy
Audi,A4,2014,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$256,Easy
Mercedes,C-Class,2016,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Inspect suspension system,$628,Hard
Audi,A4,2017,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$386,Medium
Nissan,Patrol,2005,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$167,Medium
Nissan,Patrol,2010,Tire Issues,Low tire pressure,Balance tires,$297,Easy
Mercedes,C-Class,2010,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$525,Hard
Nissan,Patrol,2010,Brake Issues,Increased stopping distance,Inspect brake system,$191,Medium
Kia,Sportage,2023,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$324,Medium
Ford,F-150,2019,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Replace fuses,$487,Medium
Hyundai,Sonata,2012,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Inspect brake system,$382,Medium
Nissan,Patrol,2009,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$216,Easy
Kia,Sportage,2021,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$153,Easy
Audi,A4,2020,Cooling System Issues,"Engine overheating, Coolant leakage",Replace water pump,$632,Medium
Toyota,Corolla,2023,Engine Oil Leak,"Low oil level, Burning smell",Replace gaskets,$473,Medium
Honda,Civic,2012,Dead Battery,"Weak sound when starting, Dim lights",Replace the battery,$50,Easy
Kia,Sportage,2021,Exhaust System Issues,"Black smoke emission, Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$931,Hard
Toyota,Corolla,2018,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$305,Medium
BMW,X5,2012,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$555,Hard
BMW,X5,2015,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Replace gaskets,$275,Medium
Ford,F-150,2016,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$150,Easy
BMW,X5,2017,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$268,Easy
Kia,Sportage,2017,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$134,Easy
Toyota,Corolla,2016,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$194,Easy
Toyota,Corolla,2020,Suspension Issues,Car swaying,Replace shock absorbers,$694,Hard
Nissan,Patrol,2000,Dead Battery,"Weak sound when starting, Dim lights",Replace the battery,$178,Easy
Ford,F-150,2016,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$78,Easy
Nissan,Patrol,2011,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Replace catalytic converter,$753,Hard
Chevrolet,Camaro,2022,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$950,Hard
Mercedes,C-Class,2011,Cooling System Issues,"Coolant leakage, Engine overheating",Inspect cooling system,$611,Medium
Mercedes,C-Class,2021,Engine Oil Leak,"Low oil level, Burning smell",Fix the leak,$264,Medium
Toyota,Corolla,2022,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$921,Hard
Toyota,Corolla,2023,Cooling System Issues,Coolant leakage,Replace water pump,$425,Medium
Audi,A4,2022,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Charge the battery,$167,Easy
